Product;Part Name;Qty;Step 1;Sec;Step 2;Sec;Step 3;Sec;Step 4;Sec;Step 5;Sec
KFC Booth Bench 1600 Dbl; Assembly;1;Welder Arrie;500;Grinders Manual;120;Spray Paint;450;;;;
KFC Bowtie Bar 750;ruggies;2;Tube Laser M-Rise;20;Tube Bender E-Turn 32;35;Grinders Manual;20;;;;
KFC Bowtie Bar 750;s/r;2;Tube Laser M-Rise;20;;;;;;;;
KFC Bowtie Bar 750; Pote;4;Cut-Off SLS;15;Swage Semi Auto;20;Tube Laser M-Rise;25;;;;
KFC Bowtie Bar 750;Assembly;1;Robot Welder 1400;550;Grinders Manual;120;Spray Paint;240;;;;
Emmet Coffee Table;Bo ring;1;Cut-Off SLS;25;Tube Bender E-Turn 40;45;Welder Jeff;300;Grinders Manual;150;;
Emmet Coffee Table;Onder ring;1;Cut-Off SLS;25;Tube Bender E-Turn 40;45;Welder Jeff;300;Grinders Manual;150;;
Emmet Coffee Table;Pote;3;Cut-Off SLS;25;Tube Bender E-Turn 40;45;Grinders Manual;35;;;;
Emmet Coffee Table;Assembly;1;Welder Jeff;660;Grinders Manual;150;Spray Paint;240;;;;
Gigolo Diner Drilling;Drilling;4;Grinders Manual;80;;;;;;;;
Box Lobby WL; Kruis;2;Tube Laser M-Rise;25;;;;;;;;
Box Lobby WL;Boxx Lobby;4;Grinders Manual;30;;;;;;;;
Box Lobby WL;Assembly;1;Welder Arrie;240;Grinders Manual;120;;;;;;
Gigolo 750 Drill;Gigolo 750 Drill;4;Grinders Manual;80;;;;;;;;
220 Table base; poot;1;Tube Laser M-Rise;40;Grinders Manual;20;;;;;;
220 Table base;Assembly;1;Welder Dino;300;Grinders Manual;110;Spray Paint;130;;;;
KFC Window Counter;sye;2;Tube Laser M-Rise;120;Welder Dino;150;Grinders Manual;100;;;;
KFC Window Counter; reelings;1;Tube Laser M-Rise;140;;;;;;;;
KFC Window Counter; Assembly;1;Welder Arrie;360;Grinders Manual;120;Spray Paint;300;;;;
KFC 320Table base;poot;1;Tube Laser M-Rise;30;Grinders Manual;15;;;;;;
KFC 320Table base; assembly;1;Welder Dino;300;Grinders Manual;120;Spray Paint;150;;;;
KFC Window Counter 2200;Sye;2;Tube Laser M-Rise;90;Welder Dino;240;Grinders Manual;120;;;;
KFC Window Counter 2200;reelings;3;Tube Laser M-Rise;40;;;;;;;;
KFC Window Counter 2200; Assembly;1;Welder Arrie;360;Grinders Manual;120;Spray Paint;300;;;;
